AR,MF,MT,PR,FPI,TPI,SE,GC
22,199.2092457,3.485366681,16.92307692,774.0909091,157.7727273,4.240642434,1
39,196.1678832,2.858783907,27.85714286,463.0769231,78.61538462,2.139955965,1
31,229.622871,4.281648957,28.18181818,535.8064516,116.3870968,3.15123584,1
20,304.136253,2.584653944,16.66666667,1200,118.8,3.235942147,1
30,258.5158151,3.302613372,25,680,101.2,2.756386861,1
38,290.4501217,3.172075294,34.54545455,552.8947368,70.34210526,1.946676556,1
30,278.2846715,2.884891523,25,732,88.4,2.42232698,1
35,313.2603406,2.571600136,31.81818182,647.4285714,61.91428571,1.729444251,1
36,311.7396594,2.297470172,27.69230769,740.2777778,63.55555556,1.772560527,1
46,288.9294404,3.524528105,38.33333333,495.6521739,70.43478261,1.948712637,1
41,293.4914842,2.96321437,34.16666667,564.8780488,66.43902439,1.843982635,1
45,298.053528,2.871837715,34.61538462,566.2222222,63.55555556,1.768758824,1
47,285.8880779,2.871837715,36.15384615,520,60.85106383,1.69363629,1
35,270.6812652,2.871837715,29.16666667,610.2857143,75.42857143,2.076116132,1
34,273.7226277,1.958071169,26.15384615,688.2352941,57.35294118,1.59746076,1
45,278.2846715,2.78046106,37.5,488,56.8,1.584059881,1
42,287.6520681,2.756964206,35,540.4571429,60.34285714,1.680644865,1
37,288.9294404,2.480223481,28.46153846,667.5675676,66.75675676,1.851144027,1
35,288.9294404,1.918909746,25,760,58.8,1.640071641,1
45,266.5450122,3.328720988,37.5,467.4133333,68,1.877906191,1
43,269.2518248,3.737305172,35.83333333,494.1209302,79.89767442,2.194272926,1
38,281.3260341,2.78046106,29.23076923,632.8947368,72.86842105,2.011158777,1
41,290.2980535,2.921442185,31.53846154,605.2926829,70.96097561,1.96305136,1
44,296.4111922,3.049369501,33.84615385,575.9,69.01818182,1.913212109,1
42,278.8017032,3.041537216,35,523.8285714,66.57142857,1.843414485,1
35,284.3673966,3.002375793,26.92307692,694.5714286,85.42857143,2.345192233,1
41,290.4501217,2.480223481,29.28571429,652.195122,64.87804878,1.801729126,1
43,288.9294404,3.302613372,33.07692308,574.4186047,76.48837209,2.109298868,1
34,331.9647202,3.429235308,26.15384615,834.6764706,100.4441176,2.756737711,1
35,349.756691,3.002375793,25,920,92,2.537679102,1
39,385.4927007,4.378247135,30,845,111.8,3.072849081,1
35,329.9878345,3.263451949,26.92307692,806,92.85714286,2.554925559,1
35,395.377129,4.568832729,26.92307692,965.7142857,130,3.558394161,1
40,380.1703163,4.177218495,33.33333333,750,96,2.652237091,1
34,377.1289538,3.211236718,24.28571429,1021.176471,101.2941176,2.791831656,1
40,358.8047445,4.104117171,33.33333333,707.85,94.32,2.601736111,1
35,369.5711679,3.686395322,26.92307692,902.6828571,104.8914286,2.88515972,1
37,380.1703163,3.132913871,26.42857143,945.9459459,90.81081081,2.514581187,1
38,410.5839416,5.221523118,31.66666667,852.6315789,126.3157895,3.464885602,1
42,342.1532847,4.307756573,32.30769231,696.4285714,102.1428571,2.804631078,1
50,352.7980535,3.041537216,35.71428571,649.6,65.24,1.828649635,1
51,361.9221411,2.910999138,34,700,65.58823529,1.840421895,1
45,352.7980535,2.871837715,32.14285714,721.7777778,68.44444444,1.913655342,1
42,357.3600973,5.495653082,30,783.3333333,140.3333333,3.821950752,1
40,372.7189781,4.908231731,30.76923077,796.575,122.2,3.345186199,1
40,380.1703163,4.307756573,30.76923077,812.5,107.25,2.950670789,1
31,380.1703163,2.610761559,25.83333333,967.7419355,77.41935484,2.159340144,1
25,364.9635036,4.960446962,19.23076923,1248,197.6,5.343200865,1
12,374.0875912,3.054591024,10,2460,234,6.311334144,1
20,377.1289538,3.067644832,15.38461538,1612,152.75,4.15682448,1
31,334.5498783,3.002375793,25.83333333,851.6129032,89.03225806,2.454728392,1
15,310.2189781,4.568832729,11.53846154,1768,303.3333333,8.132828692,1
20,345.1946472,6.135289664,15.38461538,1475.5,305.5,8.200020276,1
17,395.377129,9.137665457,14.16666667,1835.294118,494.1176471,13.21750314,1
10,396.8978102,6.918518132,7.692307692,3393,689,18.38765545,2
12,424.270073,8.197791296,10,2790,628,16.77708502,2
20,456.2043796,9.268203535,20,1500,355,9.543964585,1
12,436.4355231,6.096128241,10,2870,467,12.5095465,2
7,456.2043796,9.137665457,5.833333333,5142.857143,1200,31.95965126,2
15,349.756691,7.179594288,11.53846154,1993.333333,476.6666667,12.74190096,2
12,387.7737226,7.179594288,10,2550,550,14.69780684,2
25,329.9878345,5.874213508,20.83333333,1041.6,216,5.821590295,1
18,339.1119221,5.352061196,13.84615385,1610.555556,296.1111111,7.949267445,1
25,314.7810219,4.829908884,20.83333333,993.6,177.6,4.79871249,1
20,311.7396594,4.699370806,16.66666667,1230,216,5.816521357,1
20,334.5498783,3.916142339,15.38461538,1430,195,5.265781292,1
18,364.9635036,6.265827742,15,1600,320,8.590159503,1
15,418.1873479,7.440670444,12.5,2200,456,12.21267572,1
15,415.1459854,8.484975067,11.53846154,2366,563.3333333,15.05910944,1
15,406.0218978,6.787980054,11.53846154,2314,450.6666667,12.06781675,1
10,422.7493917,7.04905621,7.692307692,3614,702,18.73969316,2
12,488.1386861,7.584262329,9.230769231,3477.5,629.4166667,16.83240684,2
15,425.7907543,7.701746599,11.53846154,2426.666667,511.3333333,13.68263945,2
15,440.9975669,6.135289664,12.5,2320,376,10.09681671,1
12,445.5596107,8.354436989,9.230769231,3174.166667,693.3333333,18.51612485,2
12,440.9975669,6.787980054,10,2900,520,13.91676805,1
15,425.7907543,8.484975067,12.5,2240,520,13.91254393,1
12,471.4111922,8.876589301,9.230769231,3358.333333,736.6666667,19.67282824,2
15,463.8077859,7.440670444,11.53846154,2643.333333,494,13.23339078,1
12,486.6180049,7.440670444,9.230769231,3466.666667,617.5,16.51586577,2
25,410.5839416,4.960446962,20.83333333,1296,182.4,4.952656123,1
25,372.56691,5.352061196,17.85714286,1372,229.6,6.194190998,1
23,416.6666667,4.829908884,19.16666667,1429.565217,193.0434783,5.236689998,1
25,410.5839416,4.111949456,19.23076923,1404,163.8,4.459245742,1
35,395.377129,3.916142339,26.92307692,965.7142857,111.4285714,3.065741706,1
30,380.1703163,4.568832729,23.07692308,1083.333333,151.6666667,4.128931243,1
37,380.1703163,4.307756573,28.46153846,878.3783784,115.9459459,3.181351972,1
38,375.6082725,3.916142339,29.23076923,845,102.6315789,2.826888668,1
35,378.649635,3.002375793,26.92307692,924.8571429,85.42857143,2.371381744,1
38,368.0048662,3.524528105,29.23076923,827.8947368,92.36842105,2.552521307,1
40,360.4014599,3.642012375,33.33333333,711,83.7,2.320458232,1
40,361.9221411,3.876980915,30.76923077,773.5,96.525,2.661095059,1
40,380.1703163,3.655066183,30.76923077,812.5,91,2.519599892,1
40,349.756691,3.655066183,30.76923077,747.5,91,2.511151663,1
40,349.756691,4.046680417,30.76923077,747.5,100.75,2.769794201,1
